,Все
775,478759.23211226024
776,478949.05409498216
777,479135.4535289715
778,479318.48941445525
779,479498.2198336272
780,479674.70196125633
781,479847.99207531684
782,480018.14556763397
783,480185.2169545379
784,480349.2598875192
785,480510.3271638792
786,480668.4707373699
787,480823.7417288167
788,480976.1904367189
789,481125.8663478229
790,481272.81814766256
791,481417.0937310628
792,481558.74021260074
793,481697.8039370215
794,481834.3304896036
795,481968.3647064706
796,482099.95068484504
797,482229.13179324224
798,482355.9506815993
799,482480.44929133763
800,482602.66886535514
801,482722.64995794644
802,482840.43244464794
803,482956.05553200544
804,483069.5577672626
805,483180.9770479681
806,483290.35063149896
807,483397.7151445001
808,483503.10659223585
809,483606.56036785495
810,483708.11126156524
811,483807.7934697184
812,483905.64060380316
813,484001.6856993455
814,484095.961224716
815,484188.49908984284
816,484279.33065482986
817,484368.48673847923
818,484455.9976267183
819,484541.8930809301
820,484626.202346187
821,484708.95415938797
822,484790.176757298
823,484869.89788449113
824,484948.1448011956
825,485024.9442910423
826,485100.3226687156
827,485174.3057875076
828,485246.9190467753
829,485318.1873993013
830,485388.13535855827
831,485456.7870058773
832,485524.16599752096
833,485590.29557166103
834,485655.1985552614
835,485718.89737086726
836,485781.41404329997
837,485842.7702062595
838,485902.98710883386
839,485962.0856219169
840,486020.0862445349
841,486077.00911008223
842,486132.87399246776
843,486187.7003121715
844,486241.50714221323
845,486294.3132140334
846,486346.1369232868
847,486396.99633555074
848,486446.90919194755
849,486495.89291468245
850,486543.96461249824
851,486591.14108604676
852,486637.43883317866
853,486682.87405415205
854,486727.4626567606
855,486771.22026138275
856,486814.1622059521
857,486856.3035508503
858,486897.6590837233
859,486938.2433242217
860,486978.070528666
861,487017.1546946385
862,487055.509565501
863,487093.1486348412
864,487130.0851508474
865,487166.3321206126
866,487201.9023143695
867,487236.8082696563
868,487271.06229541526
869,487304.676476024
870,487337.662675261
871,487370.0325402063
872,487401.7975050772
873,487432.96879500157
874,487463.5574297279
875,487493.5742272742
876,487523.029807516
877,487551.9345957146
878,487580.29882598604
879,487608.1325447121
880,487635.44561389385
881,487662.24771444866
882,487688.54834945156
883,487714.35684732173
884,487739.68236495485
885,487764.5338908021
886,487788.920247897
887,487812.85009683005
888,487836.33193867316
889,487859.37411785324
890,487881.98482497677
891,487904.17209960584
892,487925.9438329861
893,487947.3077707277
894,487968.2715154399
895,487988.84252931975
896,488009.0281366962
897,488028.8355265297
898,488048.2717548683
899,488067.34374726104
900,488086.0583011288
901,488104.42208809423
902,488122.4416562703
903,488140.1234325091
904,488157.47372461064
905,488174.4987234934
906,488191.20450532617
907,488207.5970336222
908,488223.68216129683
909,488239.46563268825
910,488254.9530855426
911,488270.15005296405
912,488285.06196533
913,488299.69415217225
914,488314.05184402503
915,488328.1401742396
916,488341.9641807668
917,488355.5288079078
918,488368.83890803327
919,488381.8992432722
920,488394.71448717004
921,488407.2892263175
922,488419.6279619498
923,488431.7351115174
924,488443.61501022853
925,488455.2719125636
926,488466.7099937628
927,488477.9333512867
928,488488.9460062504
929,488499.7519048318
930,488510.3549196546
931,488520.75885114615
932,488530.9674288707
933,488540.98431283847
934,488550.8130947914
935,488560.45729946473
936,488569.9203858266
937,488579.2057482946
938,488588.31671793025
939,488597.2565636119
940,488606.0284931862
941,488614.63565459865
942,488623.08113700326
943,488631.3679718526
944,488639.4991339672
945,488647.4775425861
946,488655.3060623976
947,488662.9875045517
948,488670.5246276537
949,488677.9201387397
950,488685.17669423413
951,488692.2969008901
952,488699.28331671207
953,488706.1384518618
954,488712.86476954765
955,488719.46468689776
956,488725.9405758167
957,488732.294763827
958,488738.5295348945
959,488744.6471302394
960,488750.64974913147
961,488756.53954967123
962,488762.3186495566
963,488767.98912683537
964,488773.55302064365
965,488779.0123319311
966,488784.3690241725
967,488789.6250240661
968,488794.7822222194
969,488799.8424738221
970,488804.80759930646
971,488809.6793849956
972,488814.4595837401
973,488819.14991554216
974,488823.75206816883
975,488828.26769775373
976,488832.69842938735
977,488837.0458576968
978,488841.3115474146
979,488845.4970339369
980,488849.6038238717
981,488853.6333955764
982,488857.58719968563
983,488861.4666596295
984,488865.27317214175
985,488869.00810775906
986,488872.6728113105
987,488876.2686023982
988,488879.79677586927
989,488883.2586022785
990,488886.6553283427
991,488889.9881773868
992,488893.25834978133
993,488896.46702337184
994,488899.61535390036
995,488902.70447541925
996,488905.7355006968
997,488908.70952161594
998,488911.6276095649
999,488914.4908158213
1000,488917.30017192813
1001,488920.0566900638
1002,488922.7613634045
1003,488925.4151664802
1004,488928.0190555237
1005,488930.5739688136
1006,488933.0808270106
1007,488935.54053348757
1008,488937.95397465327
1009,488940.3220202705
1010,488942.6455237679
1011,488944.92532254616
1012,488947.16223827825
1013,488949.35707720445
1014,488951.5106304216
1015,488953.62367416674
1016,488955.6969700961
1017,488957.73126555816
1018,488959.72729386215
1019,488961.68577454117
1020,488963.6074136107
1021,488965.4929038219
1022,488967.3429249107
1023,488969.15814384155
1024,488970.93921504734
1025,488972.68678066425
1026,488974.4014707626
1027,488976.08390357316
1028,488977.7346857093
1029,488979.3544123849
1030,488980.94366762845
1031,488982.5030244927
1032,488984.03304526093
1033,488985.53428164887
1034,488987.0072750031
1035,488988.4525564957
1036,488989.87064731505
1037,488991.26205885364
1038,488992.62729289156
1039,488993.96684177715
1040,488995.2811886041
1041,488996.570807385
1042,488997.8361632223
1043,488999.0777124751
1044,489000.2959029235
1045,489001.49117392994
1046,489002.6639565969
1047,489003.8146739224
1048,489004.94374095177
1049,489006.0515649275
1050,489007.1385454354
1051,489008.20507454855
1052,489009.2515369686
1053,489010.2783101638
1054,489011.28576450545
1055,489012.2742634007
1056,489013.24416342366
1057,489014.1958144437
1058,489015.1295597515
1059,489016.0457361824
1060,489016.94467423804
1061,489017.826698205
1062,489018.692126272
1063,489019.54127064405
1064,489020.3744376551
1065,489021.1919278784
1066,489021.99403623474
1067,489022.7810520985
1068,489023.55325940216
1069,489024.31093673833
1070,489025.0543574603
1071,489025.78378978034
1072,489026.49949686637
1073,489027.2017369369
1074,489027.89076335396
1075,489028.56682471425
1076,489029.23016493896
1077,489029.8810233615
1078,489030.5196348139
1079,489031.14622971107
1080,489031.76103413425
1081,489032.36426991224
1082,489032.95615470136
1083,489033.53690206405
1084,489034.10672154557
1085,489034.66581874975
1086,489035.214395413
1087,489035.75264947704
1088,489036.28077516024
1089,489036.79896302754
1090,489037.3074000593
1091,489037.8062697186
1092,489038.2957520174
1093,489038.77602358145
1094,489039.2472577138
1095,489039.70962445764
1096,489040.16329065716
1097,489040.60842001805
1098,489041.0451731663
1099,489041.4737077063
1100,489041.89417827746
1101,489042.3067366101
1102,489042.7115315801
1103,489043.10870926257
1104,489043.4984129847
1105,489043.88078337716
1106,489044.255958425
1107,489044.6240735173
1108,489044.98526149604
1109,489045.3396527041
1110,489045.687375032
1111,489046.02855396434
1112,489046.3633126248
1113,489046.6917718207
1114,489047.01405008655
1115,489047.33026372665
1116,489047.6405268572
1117,489047.9449514475
1118,489048.24364735995
1119,489048.5367223903
1120,489048.82428230596
1121,489049.10643088445
1122,489049.3832699508
1123,489049.65489941416
1124,489049.9214173039
1125,489050.18291980505
1126,489050.4395012929
1127,489050.69125436706
1128,489050.93826988485
1129,489051.1806369941
1130,489051.4184431653
1131,489051.6517742232
1132,489051.8807143776
1133,489052.105346254
1134,489052.3257509232
1135,489052.5420079305
1136,489052.75419532467
1137,489052.9623896858
1138,489053.1666661531
1139,489053.36709845206
1140,489053.56375892076
1141,489053.7567185364
1142,489053.9460469404
1143,489054.13181246404
1144,489054.31408215273
1145,489054.49292179034
1146,489054.66839592304
1147,489054.84056788235
1148,489055.00949980813
1149,489055.175252671
1150,489055.3378862944
1151,489055.49745937606
1152,489055.6540295091
1153,489055.8076532031
1154,489055.95838590414
1155,489056.10628201516
1156,489056.25139491534
1157,489056.39377697936
1158,489056.53347959643
1159,489056.6705531888
1160,489056.8050472298
1161,489056.93701026205
1162,489057.0664899145
1163,489057.19353292
1164,489057.3181851319
1165,489057.4404915408
1166,489057.5604962908
1167,489057.6782426951
1168,489057.79377325205
1169,489057.9071296602
1170,489058.01835283346
1171,489058.1274829158
1172,489058.23455929593
1173,489058.3396206212
1174,489058.44270481175
1175,489058.5438490742
1176,489058.6430899151
1177,489058.7404631538
1178,489058.83600393584
1179,489058.92974674527
1180,489059.02172541735
1181,489059.11197315046
1182,489059.2005225184
1183,489059.287405482
1184,489059.3726534006
1185,489059.4562970434
1186,489059.5383666007
1187,489059.6188916945
1188,489059.6979013896
1189,489059.7754242037
1190,489059.8514881179
1191,489059.9261205867
1192,489059.99934854807
1193,489060.071198433
1194,489060.1416961751
1195,489060.2108672199
1196,489060.2787365342
1197,489060.3453286149
1198,489060.4106674979
1199,489060.4747767669
1200,489060.53767956165
1201,489060.59939858655
1202,489060.6599561187
1203,489060.719374016
1204,489060.777673725
1205,489060.83487628866
1206,489060.891002354
1207,489060.94607217936
1208,489061.0001056421
1209,489061.05312224524
1210,489061.105141125
1211,489061.15618105733
1212,489061.20626046497
